blockNumber,errCode,from,gas,gasUsed,timeStamp,epoch,traceId,type,budget_Ether,budget_USD,Ether_to_USD,token_price_Ether,token_price_USD,marketCap_Ether,marketCap_USD_Million
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,100.0,5014.5,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,25.0,1253.625,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,20.0,1002.8999999999999,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,10.0,501.44999999999993,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,280.0,14040.599999999999,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,60.0,3008.7,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,475.0,23818.874999999996,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,500.0,25072.499999999996,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,500.0,25072.499999999996,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
3593278,,0x1d0dcc8d8bcafa8e8502beaeef6cbd49d3affcdc,2300,0,2017-04-24 17:00:33,1493053233,0,call,1.0,50.144999999999996,50.144999999999996,0.5427572066095766,27.216560125437216,5427572.066095766,272.1656012543721
