blockHash,blockNumber,confirmations,cumulativeGasUsed,from,gas,gasPrice,gasUsed,timeStamp,epoch,budget_Ether,budget_USD,Ether_to_USD,txn_Fee_Ether,txn_Fee_USD
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1353268,0x114ee4ee7e6c4bf88c112a1cd1590c82e71ab298,95000,125000000000,68494,2017-06-24 13:00:03,1498309203,100.0,31940.999999999996,319.40999999999997,0.00856175,2.7347085675
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1420785,0x00f31589e00353cbdc8f03241ae7909b26729563,130000,120311252711,67517,2017-06-24 13:00:03,1498309203,30.0,9582.3,319.40999999999997,0.008123054849288587,2.594584949411267
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1489279,0x9f6dc2b8d7017ef429a2ea66fd4456821dc2b4e7,95000,120000000000,68494,2017-06-24 13:00:03,1498309203,5.98,1910.0718,319.40999999999997,0.00821928,2.6253202248
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1556796,0xc2678ec8908f800b9dcbe60e5bf69bcf60aa3f1d,150000,115000000000,67517,2017-06-24 13:00:03,1498309203,0.48,153.31679999999997,319.40999999999997,0.007764455,2.4800445715499997
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1645313,0x5992184727248e7bdb5f4664b68485a4ffab846a,180000,100000000010,67517,2017-06-24 13:00:03,1498309203,28.3,9039.303,319.40999999999997,0.00675170000067517,2.156560497215656
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1712830,0x00622dfee7a72f24881889110d1acae6e69b4b63,200000,100000000010,67517,2017-06-24 13:00:03,1498309203,5.0,1597.0499999999997,319.40999999999997,0.00675170000067517,2.156560497215656
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1780347,0x8325e604cfb88f2813fa4d84c1c85223f92ddfff,200000,100000000000,67517,2017-06-24 13:00:03,1498309203,10.0,3194.0999999999995,319.40999999999997,0.0067517,2.156560497
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1847864,0xa06b40348bf3aa174eccdb21d143a4dee1e8a379,130000,100000000000,67517,2017-06-24 13:00:03,1498309203,0.6,191.646,319.40999999999997,0.0067517,2.156560497
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1916358,0xc1215ad8b9a26fc735f9961a8949340d2c5deef8,95000,100000000000,68494,2017-06-24 13:00:03,1498309203,10.0,3194.0999999999995,319.40999999999997,0.0068494,2.187766854
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,1983875,0xb1204e2c6b18f2ae0b1f8a53056d7c6ee36247a3,300004,100000000000,67517,2017-06-24 13:00:03,1498309203,15.0,4791.15,319.40999999999997,0.0067517,2.156560497
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,2052369,0x6b16775f270f9e6b421a088b499910a81fd37bf2,95000,100000000000,68494,2017-06-24 13:00:03,1498309203,3.6,1149.876,319.40999999999997,0.0068494,2.187766854
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,2170286,0x00db79e4c6536d4f5aae44498d1cc073ffeec0ad,130000,85000000000,67517,2017-06-24 13:00:03,1498309203,1.4,447.1739999999999,319.40999999999997,0.005738945,1.8330764224499998
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,2657594,0xda0252082518cbdf0e9c8d867953cbce29518eb0,130000,70000000000,67517,2017-06-24 13:00:03,1498309203,3.5,1117.935,319.40999999999997,0.00472619,1.5095923478999997
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,2746111,0xbda40fb36d4032f2b0541d001625e8b5ba9a83ea,280000,61000000000,67517,2017-06-24 13:00:03,1498309203,22.5,7186.724999999999,319.40999999999997,0.004118537,1.31550190317
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,2813628,0x00b2e03dfff3469dd749295136a8c308a64fb761,130000,61000000000,67517,2017-06-24 13:00:03,1498309203,1.0,319.40999999999997,319.40999999999997,0.004118537,1.31550190317
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,2881145,0xb87f1fce0685c6c7c146a10f67b00c64e0d6444f,130000,60000000000,67517,2017-06-24 13:00:03,1498309203,3.0,958.2299999999999,319.40999999999997,0.00405102,1.2939362981999998
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,2948662,0xb27f74b2235fa161aebf4d910d9fe22ccd53b1d7,130000,60000000000,67517,2017-06-24 13:00:03,1498309203,40.0,12776.399999999998,319.40999999999997,0.00405102,1.2939362981999998
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,3016179,0xd908f80aba091f8eb3135e7876d51b5b1a7bb188,130000,60000000000,67517,2017-06-24 13:00:03,1498309203,5.9,1884.519,319.40999999999997,0.00405102,1.2939362981999998
0x7320ca5c1561d97d56ea50954ae41779e959b387c7edebe559cb073b8bee5167,3922949,4973835,3083696,0x528fc4ad0e7ff538aae6a2ea712fa06094ce0eca,130000,60000000000,67517,2017-06-24 13:00:03,1498309203,10.0,3194.0999999999995,319.40999999999997,0.00405102,1.2939362981999998
